run_id,date,platform,question_id,question_category,question_text,trial,tag1_hit,tag1_which,tag2_hit,tag2_which,tag3_hit,tag3_which,tags_hit_count,brand_mentioned,brand_position,brand_method_link,path_explained,competitor_list,raw_path,notes
666ba47c,2026-04-17,deepseek,A1,awareness,孩子有没有必要学英语？,1,0,,0,,0,,0,0,,,0,,raw/deepseek/A1_t1.md,
bd7b1b2b,2026-04-17,deepseek,A1,awareness,孩子有没有必要学英语？,2,0,,0,,0,,0,0,,,0,,raw/deepseek/A1_t2.md,
2299a78d,2026-04-17,deepseek,A1,awareness,孩子有没有必要学英语？,3,0,,0,,0,,0,0,,,0,,raw/deepseek/A1_t3.md,
597b7220,2026-04-17,deepseek,A2,awareness,孩子什么时候开始学英语最合适？,1,0,,0,,0,,0,0,,,0,,raw/deepseek/A2_t1.md,
9520d9a4,2026-04-17,deepseek,A2,awareness,孩子什么时候开始学英语最合适？,2,0,,0,,0,,0,0,,,0,,raw/deepseek/A2_t2.md,
cbabe207,2026-04-17,deepseek,A2,awareness,孩子什么时候开始学英语最合适？,3,0,,0,,0,,0,0,,,1,,raw/deepseek/A2_t3.md,
39a24fe5,2026-04-17,deepseek,A3,awareness,学英语会不会影响孩子的母语？,1,0,,0,,0,,0,0,,,1,,raw/deepseek/A3_t1.md,
f5f07821,2026-04-17,deepseek,A3,awareness,学英语会不会影响孩子的母语？,2,0,,0,,0,,0,0,,,0,,raw/deepseek/A3_t2.md,
6fc009cc,2026-04-17,deepseek,A3,awareness,学英语会不会影响孩子的母语？,3,0,,0,,0,,0,0,,,0,,raw/deepseek/A3_t3.md,
dc66af71,2026-04-17,deepseek,A4,awareness,普通家庭没英语环境，还能做英语启蒙吗？,1,0,,0,,0,,0,0,,,0,,raw/deepseek/A4_t1.md,
9806d426,2026-04-17,deepseek,A4,awareness,普通家庭没英语环境，还能做英语启蒙吗？,2,0,,0,,0,,0,0,,,0,,raw/deepseek/A4_t2.md,
